iter	RMSE
0	3211.231973
1	2581.956246
2	2246.729236
3	2111.307944
4	2004.815934
5	1951.855968
6	1928.913725
7	1896.183611
8	1874.77161
9	1858.305076
10	1845.8229
11	1836.851875
12	1817.176114
13	1804.785308
14	1781.658884
15	1773.361748
16	1763.837798
17	1752.806889
18	1745.780516
19	1740.85891
20	1737.43835
21	1729.955981
22	1724.221437
23	1717.989381
24	1712.513373
25	1707.089356
26	1702.735389
27	1697.479109
28	1693.848758
29	1690.738821
30	1685.514022
31	1681.288688
32	1676.942151
33	1673.988624
34	1670.433789
35	1665.646986
36	1662.993256
37	1659.61149
38	1656.012844
39	1652.458339
40	1650.018608
41	1647.219328
42	1644.042905
43	1641.612561
44	1639.629279
45	1634.964205
46	1632.917801
47	1629.814427
48	1627.891899
49	1626.858755
50	1623.131688
51	1620.977814
52	1619.133324
53	1615.258322
54	1613.059176
55	1611.646045
56	1609.894114
57	1607.096669
58	1605.513734
59	1604.357799
